mode,rank,rank_biggest,agency,ntd_id,city,state,type_of_service,breakdown_rate,vehicle_passenger_car_miles,total_mechanical_failures,rank_2022,rank_2022_10_biggest
MB,329,,MTA Metro-North Railroad,20078,New York,NY,PT,3159.1935483870966,195870,62,414,NA
MB,330,,Valley Transit,50001,Appleton,WI,PT,3141.0,6282,2,311,NA
MB,331,,Norwalk Transit District,10057,Norwalk,CT,DO,3129.712121212121,826244,264,360,NA
MB,332,,Gary Public Transportation Corporation,50045,Gary,IN,DO,3115.2371541501975,788155,253,433,NA
MB,333,,The Tri-State Transit Authority,30002,Huntington,WV,DO,3114.291095890411,909373,292,412,NA
MB,334,,VOTRAN,40032,Daytona Beach,FL,DO,3097.9216539717086,2846990,919,319,NA
MB,335,,CamTran,30012,Johnstown,PA,DO,3004.549597855228,1120697,373,415,NA
MB,336,9,King County Metro,00001,Seattle,WA,DO,2980.93315212775,35094526,11773,413,8
MB,337,,Metro Transit,50035,Kalamazoo,MI,DO,2879.7471264367814,1503228,522,404,NA
MB,338,,Capital Area Transit System,60022,Baton Rouge,LA,DO,2831.3530054644807,2590688,915,368,NA
MB,339,,City Of La Crosse MTU,50004,La Crosse,WI,DO,2825.093655589124,935106,331,399,NA
MB,340,,Rockford Mass Transit District,50058,Rockford,IL,DO,2795.8193277310925,1330810,476,401,NA
MB,341,,Brockton Area Transit Authority,10004,Brockton,MA,PT,2778.598639455782,1225362,441,400,NA
MB,342,,The COMET,40141,Columbia,SC,PT,2739.0859375,2454221,896,,
MB,343,,City Utilities of Springfield MO,70003,Springfield,MO,DO,2618.9326923076924,1089476,416,407,NA
MB,344,10,Metropolitan Atlanta Rapid Transit Authority,40022,Atlanta,GA,DO,2604.6332911269114,26741770,10267,424,9
MB,345,,Connect Transit,50047,Normal,IL,DO,2602.73031496063,1322187,508,429,NA
MB,346,,CyRide,70041,Ames,IA,DO,2557.109404990403,1332254,521,375,NA
MB,347,,Detroit Department of Transportation,50119,Detroit,MI,DO,2509.091044037605,10141746,4042,427,NA
MB,348,,Southeast Area Transit District,10040,Preston,CT,DO,2484.5489749430526,1090717,439,420,NA
MB,349,,Memphis Area Transit Authority,40003,Memphis,TN,DO,2483.737456242707,4257126,1714,423,NA
MB,350,,SLO Transit,90156,San Luis Obispo,CA,PT,2426.3503649635036,332410,137,416,NA
MB,351,,CTTransit,10056,Hartford,CT,DO,2423.974626865672,1624063,670,410,NA
MB,352,,Transit Authority of River City,40018,Louisville,KY,DO,2344.2057474778353,7667897,3271,436,NA
MB,353,,BC Transit,20003,Binghamton,NY,DO,2291.6072727272726,1260384,550,434,NA
MB,354,,Norwalk Transit System,90022,Norwalk,CA,DO,2288.8248847926266,993350,434,422,NA
MB,355,,River Valley Metro Mass Transit District,50159,Bourbonnais,IL,PT,2232.4154228855723,897431,402,425,NA
MB,356,11,Chicago Transit Authority,50066,Chicago,IL,DO,2105.1856132482317,48815044,23188,428,10
MB,357,,Stark Area Regional Transit Authority,50011,Canton,OH,DO,2066.1067708333335,2380155,1152,419,NA
MB,358,,Lafayette Transit System,60038,Lafayette,LA,DO,2049.7125,819885,400,438,NA
MB,359,,Albany Transit System,40021,Albany,GA,DO,2048.6627906976746,352370,172,437,NA
MB,360,,Capital Metro,60048,Austin,TX,PT,1864.807745987439,16033617,8598,444,NA
MB,361,,City of Glendale,90034,Glendale,AZ,DO,1820.8235294117646,92862,51,405,NA
MB,362,,Worcester Regional Transit Authority,10014,Worcester,MA,DO,1785.3385631709332,2162045,1211,443,NA
MB,363,,Metro,70002,Omaha,NE,DO,1785.0503823661718,3968167,2223,442,NA
MB,364,,CityLink,50056,Peoria,IL,DO,1706.4821834723275,2250850,1319,435,NA
MB,365,,Blacksburg Transit,30091,Blacksburg,VA,DO,1693.5938697318009,884056,522,408,NA
MB,366,,Southeastern Regional Transit Authority,10006,New Bedford,MA,PT,1386.039695945946,1641071,1184,402,NA
MB,367,,ART (Asheville Rides Transit),40005,Asheville,NC,PT,1060.4345047923323,1327664,1252,447,NA
MB,368,,GoCOMO,70016,Columbia,MO,DO,908.8136882129278,239018,263,439,NA
MB,369,,DASH,30071,Alexandria,VA,DO,789.4992,2960622,3750,110,NA
MB,370,,Valley Transportation Authority,90013,San Jose,CA,DO,599.8112850024563,17093422,28498,446,NA
MB,371,,Augusta Transit,40023,Augusta,GA,PT,532.7992315081652,554644,1041,448,NA
