Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Major Mechanical Failures,Major Mechanical Failures Questionable,Other Mechanical Failures,Other Mechanical Failures Questionable,Total Mechanical Failures,Total Mechanical Failures Questionable,Vehicle/Passenger Car Miles,Vehicle/Passenger Car Miles Questionable,Vehicle/Passenger Car Revenue Miles,Vehicle/Passenger Car Revenue Miles Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",CR,DO,277,183,,167,,350,,"15,435,942",,"14,712,833",,"3,810,272",,"3,630,730",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",HR,DO,238,43,,119,,162,,"15,789,962",,"15,691,660",,"3,488,659",,"3,467,013",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",DR,PT,234,306,,237,,543,,"6,604,180",,"5,709,370",,0,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,DO,"1,089","4,768",,"1,807",,"6,575",,"43,982,262",,"39,188,981",,0,,0,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CB,PT,88,160,,1,,161,,"8,044,199",,"5,397,064",Q,0,,0,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",MB,DO,627,"2,562",,188,,"2,750",,"21,565,673",,"19,472,968",,0,,0,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",HR,DO,42,526,,202,,728,,"4,906,439",,"4,602,773",,"877,322",,"759,899",
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,PT,398,441,,226,,667,,"13,843,639",,"13,365,050",Q,0,,0,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",LR,DO,17,384,,116,,500,,"3,209,233",,"3,110,550",,"1,420,861",,"1,419,603",
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,DO,15,9,,2,,11,,"196,402",,"178,539",,0,,0,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CR,PT,149,84,,0,,84,,"6,095,678",,"5,780,429",,"1,233,775",,"1,189,651",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,PT,91,52,,355,,407,,"2,197,572",,"1,704,443",,0,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",CB,PT,9,27,,95,,122,,"1,255,967",,"1,243,592",,0,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",HR,DO,84,254,,"2,319",,"2,573",,"7,805,328",,"7,345,940",,"1,951,340",,"1,839,497",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,DO,612,872,,"6,848",,"7,720",,"32,389,396",,"23,797,513",,0,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",DR,PT,332,141,,84,,225,,"13,471,218",,"11,744,748",,0,,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MG,DO,21,106,,620,,726,,"983,930",,"943,270",,"787,177",,"751,403",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",VP,PT,190,0,,0,,0,,"2,774,589",,"2,774,589",,0,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",RB,DO,8,100,,17,,117,,"388,573",,"352,915",,0,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",CB,PT,54,38,,19,,57,,"1,839,852",,"1,403,423",,0,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",LR,DO,46,59,,315,,374,,"2,893,754",,"2,884,228",,"1,896,345",,"1,886,818",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",MB,DO,450,"3,733",,"1,560",,"5,293",,"29,549,588",,"26,366,843",,0,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",DR,PT,336,632,,324,,956,,"17,331,503",,"14,469,361",,0,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",VP,DO,197,1,,8,,9,,"2,351,354",,"2,351,354",,0,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",MB,PT,133,"1,542",,494,,"2,036",,"8,698,841",,"7,721,021",,0,,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",CB,DO,104,253,,74,,327,,"4,398,232",,"3,257,278",,0,,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",MB,PT,9,50,,2,,52,,"205,598",,"132,117",,0,,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",FB,PT,2,0,,0,,0,,"46,140",,"46,140",,0,,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",CR,DO,"1,138",75,,0,,75,,"70,180,160",,"62,976,627",,"9,928,986",,"8,843,375",
MTA Bus Company,New York,NY,20188,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",MB,DO,"1,134","3,868",,"2,129",,"5,997",,"35,877,613",,"25,876,153",,0,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",DR,PT,87,8,,3,,11,,"2,750,912",,"2,275,173",,0,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",LR,DO,81,133,,273,,406,,"6,434,427",,"6,327,140",,"2,720,148",,"2,674,734",
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",MB,PT,7,2,,1,,3,,"346,137",,"310,995",,0,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",CB,DO,66,51,,27,,78,,"1,494,819",,"1,063,134",,0,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",DR,DO,52,0,,45,,45,,"1,937,209",,"1,591,587",,0,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",CR,DO,45,25,,14,,39,,"4,215,954",,"4,202,147",,"1,307,510",,"1,303,289",
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",VP,DO,425,2,,0,,2,,"6,182,824",,"6,182,824",,0,,0,
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",MB,DO,300,711,,967,,"1,678",,"17,406,085",,"15,613,707",,0,,0,
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,015",DR,PT,701,252,,269,,521,,"22,251,099",,"19,127,203",,0,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",DR,DO,8,7,,1,,8,,"247,584",,"191,457",,0,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",MB,DO,478,"1,344",,452,,"1,796",,"24,861,906",,"21,099,865",,0,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",VP,DO,267,18,,0,,18,,"2,259,750",,"2,259,750",,0,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",MB,PT,26,15,,44,,59,,"1,047,836",,"894,498",,0,,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",DR,PT,202,20,,34,,54,,"3,569,486",,"3,015,002",,0,,0,
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,CR,DO,8,11,,6,,17,,"767,725",,"691,396",,"384,163",,"345,092",
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,CR,PT,36,90,,53,,143,,"5,709,063",,"5,624,470",,"1,634,938",,"1,604,321",
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,MB,DO,286,617,,654,,"1,271",,"16,642,310",,"14,487,565",,0,,0,
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,DR,PT,277,162,,207,,369,,"9,568,428",,"7,921,623",,0,,0,
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,MB,PT,213,271,,565,,836,,"12,461,029",,"10,877,523",,0,,0,
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,LR,DO,111,342,,331,,673,,"10,372,651",,"10,061,868",,"3,865,517",,"3,698,030",
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,CR,DO,908,94,,3,,97,,"69,934,140",,"62,918,402",,"7,712,321",,"7,024,257",
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,CR,PT,456,74,,0,,74,,"21,126,517",,"20,794,384",,"2,999,805",,"2,949,754",
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,CR,DO,433,47,,0,,47,,"18,193,364",,"17,946,231",,"2,921,425",,"2,887,488",
VIA Metropolitan Transit,San Antonio,TX,60011,Public Agency or Authority of Transit Service,Full Reporter,78580,"San Antonio, TX","1,992,689",873,DR,DO,95,41,,109,,150,,"3,693,294",,"3,218,703",,0,,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Public Agency or Authority of Transit Service,Full Reporter,78580,"San Antonio, TX","1,992,689",873,MB,DO,498,"1,353",,"3,059",,"4,412",,"20,793,939",,"19,127,620",,0,,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Public Agency or Authority of Transit Service,Full Reporter,78580,"San Antonio, TX","1,992,689",873,DR,PT,128,208,,337,,545,,"6,292,235",,"5,636,288",,0,,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Public Agency or Authority of Transit Service,Full Reporter,78580,"San Antonio, TX","1,992,689",873,VP,PT,127,2,,2,,4,,"3,477,192",,"3,477,192",,0,,0,
Port Authority of Allegheny County,Pittsburgh,PA,30022,Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",823,MB,DO,561,"2,772",,355,,"3,127",,"24,428,394",,"18,748,966",,0,,0,
